"Date","Public","Member","Group","School","Birthdays","Total","Weather","","","","","","","","","","","","","","","","","",""
"11/08/2018","477","303","42","276","0","1098","Cloudy","","","","","","","","","","","","","","","","","",""
"11/07/2018","423","322","11","327","","1083","Cloudy","","","","","","","","","","","","","","","","","",""
"11/06/2018","421","321","0","761","0","1503","Cloudy","","","","","","","","","","","","","","","","","",""
"11/05/2018","557","296","9","269","0","1131","Cloudy","","","","","","","","","","","","","","","","","",""
"11/04/2018","1288","1449","46","0","83","2866","Rainy","","","","","","","","","","","","","","","","","",""
"11/03/2018","1776","1608","18","0","0","3402","Rainy","","","","","","","","","","","","","","","","","",""
"11/02/2018","913","665","42","246","0","1866","Cloudy","","","","","","","","","","","","","","","","","",""
"11/01/2018","594","376","23","58","0","1051","Rainy","","","","","","","","","","","","","","","","","",""
"10/31/2018","335","210","0","123","0","668","Rainy","","","","","","","","","","","","","","","","","",""
"10/30/2018","492","307","6","0","0","805","Rainy","","","","","","","","","","","","","","","","","",""
"10/29/2018","633","329","0","334","0","1296","Rainy","","","","","","","","","","","","","","","","","",""
"10/28/2018","1509","1456","28","0","91","3084","Rainy","","","","","","","","","","","","","","","","","",""
"10/27/2018","1260","736","75","0","91","2162","Rainy","","","","","","","","","","","","","","","","","",""
"10/26/2018","666","522","0","245","0","1433","Cloudy","","","","","","","","","","","","","","","","","",""
"10/25/2018","702","359","36","197","0","1294","Rainy","","","","","","","","","","","","","","","","","",""
"10/24/2018","610","260","10","380","0","1260","Cloudy","","","","","","","","","","","","","","","","","",""
"10/23/2018","396","275","0","235","0","906","Cloudy","","","","","","","","","","","","","","","","","",""
"10/22/2018","541","248","21","219","0","1029","Sunny","","","","","","","","","","","","","","","","","",""
"10/21/2018","1121","827","0","0","151","2099","Sunny","","","","","","","","","","","","","","","","","",""
"10/20/2018","1317","903","30","0","0","2250","Sunny","","","","","","","","","","","","","","","","","",""
"10/19/2018","1619","1520","110","0","0","3246","Sunny","","","","","","","","","","","","","","","","","",""
"10/18/2018","452","305","11","172","0","940","Sunny","","","","","","","","","","","","","","","","","",""
"10/17/2018","389","246","15","399","0","1049","Sunny","","","","","","","","","","","","","","","","","",""
"10/16/2018","436","287","20","129","0","872","Sunny","","","","","","","","","","","","","","","","","",""
"10/15/2018","360","215","0","82","0","657","Sunny","","","","","","","","","","","","","","","","","",""
"10/14/2018","976","864","14","0","91","1945","Sunny","","","","","","","","","","","","","","","","","",""
"10/13/2014","1269","803","52","0","100","2224","Sunny","","","","","","","","","","","","","","","","","",""
"10/12/2018","628","371","42","182","0","1223","Sunny","","","","","","","","","","","","","","","","","",""
"10/11/2018","499","263","0","11","0","773","Sunny","","","","","","","","","","","","","","","","","",""
"10/10/2018","459","256","12","0","0","727","Sunny","","","","","","","","","","","","","","","","","",""
"10/09/2018","426","250","29","0","0","705","Sunny","","","","","","","","","","","","","","","","","",""
"10/08/2018","1974","1963","23","0","0","3960","Rainy","","","","","","","","","","","","","","","","","",""
"10/07/2018","2094","1498","31","0","37","3660","Rainy","","","","","","","","","","","","","","","","","",""
"10/06/2018","1474","924","32","43","64","2537","Cloudy","","","","","","","","","","","","","","","","","",""
"10/05/2018","1051","684","9","32","0","1776","Rainy","","","","","","","","","","","","","","","","","",""
"10/04/2018","479","278","0","44","0","801","Sunny","","","","","","","","","","","","","","","","","",""
"10/03/2018","590","311","3","115","0","1019","Sunny","","","","","","","","","","","","","","","","","",""
"10/02/2018","619","336","10","25","0","989","Cloudy","","","","","","","","","","","","","","","","","",""
"10/01/2018","879","366","0","115","0","1360","Rainy","","","","","","","","","","","","","","","","","",""
"09/30/2018","2236","1626","27","0","81","3970","Rainy","","","","","","","","","","","","","","","","","",""
"09/29/2018","1435","1100","78","0","55","2668","Rainy","","","","","","","","","","","","","","","","","",""
"09/28/2018","676","473","0","18","0","1167","Sunny","","","","","","","","","","","","","","","","","",""
"09/27/2018","531","220","0","22","0","773","Sunny","","","","","","","","","","","","","","","","","",""
"09/26/2018","480","255","1","24","0","760","Sunny","","","","","","","","","","","","","","","","","",""
"09/25/2018","436","287","21","64","0","808","Sunny","","","","","","","","","","","","","","","","","",""
"09/24/2018","836","552","223","0","0","1611","Sunny","","","","","","","","","","","","","","","","","",""
"09/23/2018","1654","1397","0","0","32","3083","Cloudy","","","","","","","","","","","","","","","","","",""
"09/22/2018","2222","1358","95","0","86","3761","Cloudy","","","","","","","","","","","","","","","","","",""
"09/21/2018","1621","1156","64","0","0","2841","Rainy","","","","","","","","","","","","","","","","","",""
"09/20/2019","819","293","4","87","0","1203","Rainy","","","","","","","","","","","","","","","","","",""
"09/19/2018","470","256","0","25","0","751","Sunny","","","","","","","","","","","","","","","","","",""
"09/18/2018","432","248","10","29","0","719","Sunny","","","","","","","","","","","","","","","","","",""
"09/17/2018","503","245","0","0","0","748","Cloudy","","","","","","","","","","","","","","","","","",""
"09/16/2018","2068","1505","0","0","38","3611","Cloudy","","","","","","","","","","","","","","","","","",""
"09/15/2018","2171","1392","9","0","18","3590","Cloudy","","","","","","","","","","","","","","","","","",""
"09/14/2018","847","375","14","0","0","1236","Cloudy","","","","","","","","","","","","","","","","","",""
"09/13/2018","1722","301","0","0","0","2023","Cloudy","","","","","","","","","","","","","","","","","",""
"09/12/2018","624","302","10","0","0","936","Cloudy","","","","","","","","","","","","","","","","","",""
"09/11/2018","788","427","0","0","0","1215","Cloudy","","","","","","","","","","","","","","","","","",""
"09/10/2018","808","370","0","0","0","1178","Rainy","","","","","","","","","","","","","","","","","",""
"09/09/2018","2099","1814","73","0","17","4003","Rainy","","","","","","","","","","","","","","","","","",""
"09/08/2018","1787","1333","0","0","24","3144","Cloudy","","","","","","","","","","","","","","","","","",""
"09/07/2018","866","473","20","0","0","1359","Rainy","","","","","","","","","","","","","","","","","",""
"09/06/2018","708","401","28","","","1137","Sunny","","","","","","","","","","","","","","","","","",""
"09/05/2018","0","0","0","0","","0","Sunny","","","","","","","","","","","","","","","","","",""
"09/04/2018","732","619","","","","1351","Sunny","","","","","","","","","","","","","","","","","",""
"09/03/2018","1493","1070","","","","2563","Sunny","","","","","","","","","","","","","","","","","",""
"09/02/2018","1880","925","33","","25","2863","Sunny","","","","","","","","","","","","","","","","","",""
"09/01/2018","1907","995","47","","","2949","Sunny","","","","","","","","","","","","","","","","","",""
"08/31/2018","1868","1035","59","","","2962","Sunny","","","","","","","","","","","","","","","","","",""
"08/30/2018","2041","1153","200","","","3394","Cloudy","","","","","","","","","","","","","","","","","",""
"08/29/2018","2350","1167","210","","","3727","Cloudy","","","","","","","","","","","","","","","","","",""
"08/28/2018","2125","972","61","","","","Sunny","","","","","","","","","","","","","","","","","",""
"08/27/2018","1869","946","68","","","3158","Sunny","","","","","","","","","","","","","","","","","",""
"08/26/2018","2821","1623","22","","24","4490","Cloudy","","","","","","","","","","","","","","","","","",""
"08/25/2018","3299","1606","","","39","4944","Rainy","","","","","","","","","","","","","","","","","",""
"08/24/2018","2198","1016","200","","","3414","Cloudy","","","","","","","","","","","","","","","","","",""
"08/23/2018","2576","1142","214","","","3932","Cloudy","","","","","","","","","","","","","","","","","",""
"08/22/2018","2115","1059","581","","","3755","Sunny","","","","","","","","","","","","","","","","","",""
"08/21/2018","2870","1224","396","","","4490","Sunny","","","","","","","","","","","","","","","","","",""
"08/20/2018","2637","1031","84","","","3752","Sunny","","","","","","","","","","","","","","","","","",""
"08/19/2018","2403","1058","24","","","3485","Sunny","","","","","","","","","","","","","","","","","",""
"08/18/2018","2256","1019","56","","68","3399","Sunny","","","","","","","","","","","","","","","","","",""
"08/17/2018","1998","913","202","1","","3114","Sunny","","","","","","","","","","","","","","","","","",""
"08/16/2018","2113","789","375","","","3277","Sunny","","","","","","","","","","","","","","","","","",""
"08/15/2018","2088","793","407","","","3288","Sunny","","","","","","","","","","","","","","","","","",""
"08/14/2018","2848","1074","238","","","4160","Sunny","","","","","","","","","","","","","","","","","",""
"08/13/2018","1956","812","167","","","2935","Sunny","","","","","","","","","","","","","","","","","",""
"08/12/2018","2564","1253","101","","41","3959","Sunny","","","","","","","","","","","","","","","","","",""
"08/11/2018","2822","1213","180","","91","4306","Sunny","","","","","","","","","","","","","","","","","",""
"08/10/2018","2019","788","262","","","3069","Sunny","","","","","","","","","","","","","","","","","",""
"08/09/2018","2005","776","325","","","3106","Sunny","","","","","","","","","","","","","","","","","",""
"08/08/2018","1968","813","761","","","3542","Sunny","","","","","","","","","","","","","","","","","",""
"08/07/2018","2634","829","339","","","3802","Sunny","","","","","","","","","","","","","","","","","",""
"08/06/2018","2432","1117","55","","","3604","Sunny","","","","","","","","","","","","","","","","","",""
"08/05/2018","2132","799","98","","","3029","Sunny","","","","","","","","","","","","","","","","","",""
"08/04/2018","2256","938","63","1","16","3274","Sunny","","","","","","","","","","","","","","","","","",""
"08/03/2018","2726","1163","281","","29","4199","Sunny","","","","","","","","","","","","","","","","","",""
"08/02/2018","2072","932","566","","","3570","Sunny","","","","","","","","","","","","","","","","","",""
"08/01/2018","1824","783","405","2","","3014","Sunny","","","","","","","","","","","","","","","","","",""
"07/31/2018","2884","1176","242","","","4302","Sunny","","","","","","","","","","","","","","","","","",""
"07/30/2018","2071","904","92","","","3067","Sunny","","","","","","","","","","","","","","","","","",""
"07/29/2018","2077","1025","156","","35","3293","Sunny","","","","","","","","","","","","","","","","","",""
"07/28/2018","2062","952","22","","37","3073","Sunny","","","","","","","","","","","","","","","","","",""
"07/27/2018","1875","749","581","","","3205","Sunny","","","","","","","","","","","","","","","","","",""
"07/26/2018","1757","680","763","","","3200","Sunny","","","","","","","","","","","","","","","","","",""
"07/25/2018","1886","717","564","","","3167","Sunny","","","","","","","","","","","","","","","","","",""
"07/24/2018","2703","920","404","0","0","4027","Sunny","","","","","","","","","","","","","","","","","",""
"07/23/2018","1886","646","151","","","2683","Sunny","","","","","","","","","","","","","","","","","",""
"07/22/2018","2028","932","32","","38","3030","Sunny","","","","","","","","","","","","","","","","","",""
"07/21/2018","2175","932","128","","34","3269","Sunny","","","","","","","","","","","","","","","","","",""
"07/20/2018","1975","807","396","","","3178","Sunny","","","","","","","","","","","","","","","","","",""
"07/19/2018","1862","840","582","","","3284","Sunny","","","","","","","","","","","","","","","","","",""
"07/18/2018","1794","818","405","","","3017","Sunny","","","","","","","","","","","","","","","","","",""
"07/17/2018","3471","816","668","","","4955","Sunny","","","","","","","","","","","","","","","","","",""
"07/16/2018","1569","576","393","","","2538","Sunny","","","","","","","","","","","","","","","","","",""
"7/15/2018","1827","795","37","","21","2680","Sunny","","","","","","","","","","","","","","","","","",""
"7/14/2018","1857","811","73","","43","2784","Sunny","","","","","","","","","","","","","","","","","",""
"7/13/2018","1537","557","758","","","2852","Sunny","","","","","","","","","","","","","","","","","",""
"7/12/18","1497","582","818","0","0","2,897","Sunny","","","","","","","","","","","","","","","","","",""
"7/11/18","1271","505","383","0","0","2,159","Sunny","","","","","","","","","","","","","","","","","",""
"7/10/18","4064","1131","297","0","0","5,492","Cloudy","","","","","","","","","","","","","","","","","",""
"7/9/18","1781","669","174","0","0","2,624","Cloudy","","","","","","","","","","","","","","","","","",""
"7/8/18","1817","874","124","0","0","2,815","Sunny","","","","","","","","","","","","","","","","","",""
"7/7/18","2740","1296","270","5","26","4,337","Sunny","","","","","","","","","","","","","","","","","",""
"7/6/18","1938","961","167","0","0","3,066","Sunny","","","","","","","","","","","","","","","","","",""
"7/5/18","1486","665","244","","","2,395","Sunny","","","","","","","","","","","","","","","","","",""
"7/4/18","1404","602","210","","","2,216","Sunny","","","","","","","","","","","","","","","","","",""
"7/3/18","1951","687","24","","","2,662","Sunny","","","","","","","","","","","","","","","","","",""
"7/2/18","1806","985","","","","2,791","Sunny","","","","","","","","","","","","","","","","","",""
"7/1/18","1286","829","","","44","2,159","Cloudy","","","","","","","","","","","","","","","","","",""
"6/30/18","3222","1934","33","","35","5,224","Rainy","","","","","","","","","","","","","","","","","",""
"6/29/18","2381","1578","151","","","4,110","Rainy","","","","","","","","","","","","","","","","","",""
"6/28/18","1652","871","83","","","2,606","Cloudy","","","","","","","","","","","","","","","","","",""
"6/27/18","954","502","42","31","","1,529","Sunny","","","","","","","","","","","","","","","","","",""
"6/26/18","1376","675","35","84","","2,170","Sunny","","","","","","","","","","","","","","","","","",""
"6/25/18","1187","588","42","212","","2,029","Sunny","","","","","","","","","","","","","","","","","",""
"6/24/18","1463","1193","10","","33","2,699","Cloudy","","","","","","","","","","","","","","","","","",""
"6/23/18","1689","1074","41","","15","2,819","Sunny","","","","","","","","","","","","","","","","","",""
"6/22/18","1242","622","","225","","2,089","Sunny","","","","","","","","","","","","","","","","","",""
